scenario,epochs,method,seed,position,dateIndex,dateColumn
uniform_160,160,uniform,20276824,66,103,D20200809
uniform_160,160,uniform,20276824,67,104,D20200821
uniform_160,160,uniform,20276824,68,106,D20200914
uniform_160,160,uniform,20276824,69,107,D20200926
uniform_160,160,uniform,20276824,70,109,D20201020
uniform_160,160,uniform,20276824,71,110,D20201101
uniform_160,160,uniform,20276824,72,112,D20201125
uniform_160,160,uniform,20276824,73,113,D20201207
uniform_160,160,uniform,20276824,74,115,D20201231
uniform_160,160,uniform,20276824,75,117,D20210124
uniform_160,160,uniform,20276824,76,118,D20210205
uniform_160,160,uniform,20276824,77,120,D20210301
uniform_160,160,uniform,20276824,78,121,D20210313
uniform_160,160,uniform,20276824,79,123,D20210406
uniform_160,160,uniform,20276824,80,124,D20210418
uniform_160,160,uniform,20276824,81,126,D20210512
uniform_160,160,uniform,20276824,82,127,D20210524
uniform_160,160,uniform,20276824,83,129,D20210617
uniform_160,160,uniform,20276824,84,130,D20210629
uniform_160,160,uniform,20276824,85,132,D20210723
uniform_160,160,uniform,20276824,86,134,D20210816
uniform_160,160,uniform,20276824,87,135,D20210828
uniform_160,160,uniform,20276824,88,137,D20210921
uniform_160,160,uniform,20276824,89,138,D20211003
uniform_160,160,uniform,20276824,90,140,D20211027
uniform_160,160,uniform,20276824,91,141,D20211108
uniform_160,160,uniform,20276824,92,143,D20211202
uniform_160,160,uniform,20276824,93,144,D20211214
uniform_160,160,uniform,20276824,94,146,D20220107
uniform_160,160,uniform,20276824,95,148,D20220131
uniform_160,160,uniform,20276824,96,149,D20220212
uniform_160,160,uniform,20276824,97,151,D20220308
uniform_160,160,uniform,20276824,98,152,D20220320
uniform_160,160,uniform,20276824,99,154,D20220413
uniform_160,160,uniform,20276824,100,155,D20220425
uniform_160,160,uniform,20276824,101,157,D20220519
uniform_160,160,uniform,20276824,102,158,D20220531
uniform_160,160,uniform,20276824,103,160,D20220624
uniform_160,160,uniform,20276824,104,162,D20220718
uniform_160,160,uniform,20276824,105,163,D20220730
uniform_160,160,uniform,20276824,106,165,D20220823
uniform_160,160,uniform,20276824,107,166,D20220904
uniform_160,160,uniform,20276824,108,168,D20220928
uniform_160,160,uniform,20276824,109,169,D20221010
uniform_160,160,uniform,20276824,110,171,D20221103
uniform_160,160,uniform,20276824,111,172,D20221115
uniform_160,160,uniform,20276824,112,174,D20221209
uniform_160,160,uniform,20276824,113,176,D20230102
uniform_160,160,uniform,20276824,114,177,D20230114
uniform_160,160,uniform,20276824,115,179,D20230207
uniform_160,160,uniform,20276824,116,180,D20230219
uniform_160,160,uniform,20276824,117,182,D20230315
uniform_160,160,uniform,20276824,118,183,D20230327
uniform_160,160,uniform,20276824,119,185,D20230420
uniform_160,160,uniform,20276824,120,186,D20230502
uniform_160,160,uniform,20276824,121,188,D20230526
uniform_160,160,uniform,20276824,122,190,D20230619
uniform_160,160,uniform,20276824,123,191,D20230701
uniform_160,160,uniform,20276824,124,193,D20230725
uniform_160,160,uniform,20276824,125,194,D20230806
uniform_160,160,uniform,20276824,126,196,D20230830
uniform_160,160,uniform,20276824,127,197,D20230911
uniform_160,160,uniform,20276824,128,199,D20231005
uniform_160,160,uniform,20276824,129,200,D20231017
